station_id,zone,lat,lon,install_date
ST-001,core,21.65,79.16,2023-01-15
ST-002,core,21.68,79.20,2023-01-15
ST-003,core,21.70,79.18,2023-01-15
ST-004,core,21.73,79.20,2023-01-15
ST-005,core,21.75,79.17,2023-01-15
ST-006,core,21.78,79.19,2023-01-15
ST-007,core,21.80,79.16,2023-01-15
ST-008,buffer,21.63,79.19,2023-01-15
ST-009,buffer,21.66,79.36,2023-01-15
ST-010,buffer,21.70,79.37,2023-01-15
ST-011,buffer,21.74,79.36,2023-01-15
ST-012,buffer,21.78,79.35,2023-01-15
ST-013,buffer,21.62,79.20,2023-01-15
ST-014,core,21.71,79.18,2024-06-01
ST-015,buffer,21.76,79.14,2024-06-01
ST-016,buffer,21.68,79.37,2023-01-15
